Variable,Correlation
T2,0.12007328289803097
T6,0.11763768942238201
T_out,0.09915465073995956
RH_1,0.08603142531155078
T3,0.08505990236567885
T1,0.0554474718520363
T4,0.040280983010928605
T8,0.0395719810955945
RH_3,0.036291721153532484
T7,0.025801044619655704
T5,0.01975986058873941
RH_4,0.01696543141894493
Tdewpoint,0.015353010487472701
T9,0.010010284644666289
RH_5,0.006954536262417939
RH_9,-0.0514620113463032
RH_7,-0.05564241833633216
RH_2,-0.06046476002711881
RH_6,-0.08317760704200428
RH_8,-0.09403862707398905
RH_out,-0.15228238090915114
